,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
fri_c4_1000_25,0.960144,0.962295,0.659988,0.667058,0.667514,0.658646,0.926801,-0.12497330288594587,0.026,-0.9232112096828945,-4.1536669933689864e-11,0.09341596773548971,1.000000000024112,0.0,26.0,0.0,0.0,0.0,100.0,0.0
tae,0.81682,0.549889,0.639069,0.647738,0.635444,0.694279,0.710574,0.9266666666666666,0.039735099337748346,-0.6676832110207652,16.538631346578367,0.45338663127535284,8.914483709247671,3.0,6.0,33.33333333333333,0.0,0.0,50.0,50.0
spambase,0.988118,0.973756,0.64456,0.924552,0.863293,0.962355,0.982309,0.9997826086956522,0.012605955227124538,241.1700186517731,6.150770191072139,11.186639096029253,15.193997694546747,2.0,58.0,1.7241379310344827,0.0,0.0,98.27586206896551,1.7241379310344827
kc1-binary,0.81451,0.858627,0.706569,0.817451,0.743529,0.820588,0.755686,0.6597222222222222,0.6551724137931034,13.15535663372959,1290.4663028382242,2.72712132223159,2999.2874289113665,2.0,95.0,1.0526315789473684,0.0,0.0,98.94736842105263,1.0526315789473684
autoUniv-au4-2500,0.667455,0.725281,0.632882,0.618859,0.631112,0.540842,0.730875,0.4381752701080432,0.0404,-1.1426754035820141,2902.258876786207,0.06736734387934173,625.3193617380948,3.0,101.0,8.91089108910891,0.0,0.0,57.42574257425742,42.57425742574257
fri_c3_500_25,0.938515,0.959237,0.655016,0.658677,0.673425,0.69776,0.919383,-0.14566560940681322,0.052,-0.9169477125759425,-2.087277938163381e-11,0.08640572240599628,0.9999999999519382,0.0,26.0,0.0,0.0,0.0,100.0,0.0
CreditCardSubset,0.887211,0.877728,0.867929,0.869451,0.926266,0.877724,0.858195,0.9967694360559028,0.0021769662921348313,60.05877452737288,3154.2742740711547,-0.27268680030056425,1592.8393499501178,2.0,31.0,3.225806451612903,0.0,0.0,96.7741935483871,3.225806451612903
machine_cpu,0.972339,0.949755,0.968371,0.93038,0.978933,0.972339,0.977007,-62.90865384615385,0.03349282296650718,14.066580539040554,2145.9644565960352,3.2202255657927648,2299.9775868592633,0.0,7.0,0.0,0.0,0.0,100.0,0.0
boston_corrected,0.93909,0.915749,0.830642,0.92143,0.907501,0.914204,0.935706,-2.852871287128715,0.041501976284584984,2.898720288324134,215.6148269379212,0.5119785668141456,103.83059402032485,0.0,21.0,4.761904761904762,0.0,0.0,85.71428571428571,14.285714285714285
delta_elevators,0.942037,0.944495,0.340231,0.887973,0.934643,0.931213,0.934365,0.9971727616645649,0.0007355259010192287,0.5952986624462339,-1.7990314594935284,-0.03878937315009056,4.373551443359677,0.0,7.0,0.0,0.0,0.0,100.0,0.0
calendarDOW,0.883812,0.842267,0.800715,0.813422,0.803718,0.852583,0.876552,0.3869346733668342,0.08270676691729323,4.312177418682957,26.3218462823726,-1.9375149954010573,9.067698619654768,5.0,33.0,6.0606060606060606,0.0,0.0,36.36363636363637,63.63636363636363
analcatdata_boxing1,0.888278,0.834096,0.904915,0.901557,0.894994,0.822039,0.855464,0.6470588235294118,0.03333333333333333,,,,,2.0,4.0,50.0,0.0,0.0,0.0,100.0
chscase_adopt,0.802469,0.774691,0.70679,0.763889,0.808642,0.804012,0.658951,,,,,,,,,,,,,
dbworld-subjects,0.926601,0.966502,0.920197,0.915271,0.924138,0.898522,0.87931,0.9365079365079365,3.796875,,,,,2.0,243.0,100.0,0.0,0.0,0.0,100.0
volcanoes-b3,0.829796,0.87822,0.79374,0.4999,0.884453,0.797162,0.770743,0.9801636976408281,0.00038513383400731754,1.9668037957478126,343.466233755665,0.5191872701892872,191.63233343573438,5.0,4.0,0.0,0.0,0.0,75.0,25.0
sa-heart,0.716701,0.663142,0.750228,0.716463,0.749379,0.701594,0.744205,0.561822125813449,0.021645021645021644,2.257390455816063,38.88974567099567,0.8560005840491605,11.007772311183029,2.0,10.0,20.0,0.0,0.0,80.0,20.0
chscase_funds,0.666784,0.67171,0.667722,0.653765,0.664028,0.672062,0.627434,,0.010810810810810811,-0.10239594763932047,7470.267567567567,0.25981351657153773,1330.7324672188633,,2.0,0.0,0.0,0.0,100.0,0.0
mfeat-karhunen,0.997674,0.988209,0.993628,0.992215,0.994738,0.995962,0.990469,0.9954977488744372,0.0325,-0.045654845752496065,0.053084739246640686,-0.004285662607736754,2.152662828702679,10.0,65.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385
wall-robot-navigation,1.0,0.998554,0.99806,0.878495,0.984565,0.998659,0.993268,0.9275893675527039,0.004582111436950147,2.3688224584697655,2.0457923463465297,1.522257637806473,1.2512399704111532,4.0,25.0,0.0,0.0,0.0,96.0,4.0
rabe_176,0.543673,0.645714,0.666122,0.717551,0.700408,0.582041,0.599184,-1.4559198550724635,0.05714285714285714,-0.21447144018169306,0.036698357142857116,-0.020676225233301294,1.3260338626178958,0.0,4.0,0.0,0.0,0.0,100.0,0.0
hutsof99_child_witness,0.768235,0.703529,0.767059,0.783529,0.778824,0.749412,0.665882,-10.575609756097561,0.38095238095238093,-0.5683023902441438,9.526041666666666,-0.005298294158206263,2.713458748961928,0.0,16.0,0.0,0.0,0.0,100.0,0.0
heart-h,0.884133,0.907592,0.908596,0.882101,0.908019,0.887997,0.898886,0.9965870307167235,0.047619047619047616,1.2954349162078496,95.16243401688388,0.669860013613296,19.59908149082564,2.0,14.0,21.428571428571427,99.65986394557824,18.999028182701654,42.857142857142854,57.14285714285714
autoUniv-au7-700,0.702402,0.676824,0.616135,0.591841,0.61721,0.554468,0.71056,0.3361945636623748,0.018571428571428572,-1.312729061919854,1053.5226767857143,0.006349588612895005,201.16561112853293,3.0,13.0,15.384615384615385,0.0,0.0,61.53846153846154,38.46153846153847
analcatdata_seropositive,0.986603,0.990142,0.963852,0.968782,0.964105,0.988119,0.95867,-15.030534351145038,0.030303030303030304,0.8627901667832731,75.04040404040406,1.0102915744820817,58.03274903283711,0.0,4.0,0.0,0.0,0.0,75.0,25.0
cleveland,0.891604,0.860546,0.904501,0.884914,0.905948,0.887173,0.877961,-0.2251655629139073,0.0462046204620462,0.9273127762157815,83.58259734239071,0.6589423296026808,14.94534000277354,0.0,14.0,21.428571428571427,1.9801980198019802,0.14144271570014144,50.0,50.0
